Ingredients,Rate,Category,Information
lauroyl lysine,GOOD,Miscellaneous,"Amino acid derivative that functions as a skin-softening and hair-conditioning agent. It also contributes to a product’s texture by helping to gel the solvents, while also remaining stable under high heat conditions.
Reference for this information:
Organic & Biomolecular Chemistry, 2003, issue 22, pages 4125-4134"
Laurus nobilis,POOR,Antioxidants,none
lauryl alcohol,GOOD,Cleansing Agents,none
lauryl glucoside,GOOD,Cleansing Agents,none
lauryl lactate,GOOD,Fragrance: Synthetic and Fragrant Plant Extracts,Mixture of lauryl alcohol and lactic acid that functions as a skin-softening agent and emollient; also used to impart fragrance.
lauryl laurate,BEST,Emollients,"An ester of lauryl alcohol and lauric acid, lauryl laurate is an emollient ingredient that can help bioactive ingredients better integrate with skin’s surface. It is considered safe as used in cosmetics.
 
References for this information: 
Drug Delivery and Translational Research, April 2017, pages 333-435
Chemical and Pharmaceutical Bulletin, Volume 64, No. 11, 2016, pages 1,597-1,606
http://www.cir-safety.org/sites/default/files/alkyle032013rep.pdf"
lauryl PEG-9 polydimethylsiloxyethyl dimethicone,GOOD,Emulsifiers,"A silicone polymer that has multiple functions in cosmetic products, including skin/hair softening and texture enhancer."
lavandin oil,POOR,Plant Extracts,"Essential oil of the hybrid lavender plant Lavandula hybrida and used in cosmetics as a fragrance ingredient. Its sensitizer potential for skin is similar to that of lavender oil and camphor. Lavandin yields four times more oil per volume of plants than true lavender, but it is of inferior quality and has a distinct camphor scent. It is not used in perfumery, but instead to scent soaps, air fresheners, and similar items."
Lavandula angustifolia,POOR,Plant Extracts,none
Lavandula officinalis,POOR,Plant Extracts,none
lavender extract and oil,POOR,Plant Extracts,"Widely used plant that’s a member of the mint family. May be listed by its Latin names Lavandula angustifolia or Lavandula officinalis. Primarily a fragrance ingredient, it may have beneficial properties for skin but is also a potential sensitizer due to its fragrance components. The oil form is more likely to aggravate skin than the extract form, especially if you can detect lavender’s distinctive scent.
In-vitro research indicates that components of lavender oil, specifically linalool and linalyl acetate, can have damaging effects on skin in as low a concentration as 0.25%. When exposed to air, these components oxidize, meaning their potential for causing a reaction increases.
If you’re wondering why lavender oil doesn’t appear to be problematic for some people, it’s because research has demonstrated that you don’t always need to immediately see or feel the sensitizing effects for your skin to suffer damage.
References for this information:
British Journal of Dermatology, August 2014, pages 292-297
Skin Pharmacology and Physiology, May 2008, pages 191-202
Contact Dermatitis, April 2008, pages 143-150 and January 2008, pages 9-14
Cell Proliferation, June 2004, pages 221-229
Journal of the Society of Cosmetic Chemists, January-February 1992, pages 49-54"
L-cysteine,GOOD,Antioxidants,none
lecithin,BEST,Emollients,"Phospholipid found in egg yolks and plants. Widely used in cosmetics as an emollient and water-binding agent. Lecithin also has skin-restoring ability.
Reference for this information:
International Journal of Toxicology, 2001, volume 20, issue S1, pages 21-45"
lemon,POOR,Plant Extracts,"Citrus fruit that’s a potent skin sensitizer.The juice from lemon is often touted as being a natural option for brightening skin. The truth is that lemon juice is highly acidic (has a very low pH of 2) and exceedingly sensitizing to skin. Lemon juice applied to skin can cause photosensitivty on exposure to sunlight, which is due to a volatile fragrance chemical known as limonene, which is abundant in lemon juice. Lemon, whether in juice or oil form, is a must to avoid in cosmetics. 
Reference for this information:
Journal of American Academy of Dermatology, 2002, issue 5, pages 709-714"
lemon balm,POOR,Plant Extracts,none
lemongrass extract,POOR,Plant Extracts,"Extract that can have beneficial properties, but it also may be a skin sensitizer.
Reference for this information:
 Journal of Applied Microbiology, 2000, volume 88, pages 308–316 "
lemongrass oil,POOR,Plant Extracts,"Also known as Oil of Verbena. As a volatile fragrant oil, it contains compounds (including limonene and citral) that can cause sensitivity when applied to skin.
Reference for this information:
Phytomedicine, 2002, issue 3, 259-262"
lemon juice,POOR,Antioxidants,"The juice from the citrus fruit lemon, often touted in the world of skin care as being a natural option for brightening skin. The truth is that lemon juice is highly acidic, with a very low pH that's exceedingly sensitizing to skin. Lemon juice has a pH of 2, and comparing an ingredient with that pH to just one number up (that being pH 3) is like the difference between a minor tremor in the ground and a catastrophic earthquake.
Lemon juice applied to skin can cause photosensitivity, which is due to a volatile fragrance chemical known as limonene, which is abundant in lemon juice.
Bottom line: There's no research showing that lemon juice has a positive effect on brightening an uneven skin tone, yet it's clear this ingredient is a potent skin sensitizer. Given its antioxidant content, lemon juice has its benefits, but far better to consume it orally than apply it topically."
lemon oil,POOR,Plant Extracts,"Commonly used citrus oil that can be a skin sensitizer, especially on abraded skin. Lemon oil has limited research proving any benefits for skin. As with many fragrant oils, lemon oil has antioxidant components that can be beneficial, but there’s no valid reason to tolerate the bad to get the good.
Lemon oil contains numerous fragrance chemicals that can cause a reaction when on skin that’s subsequently exposed to sunlight. Examples of the fragrance chemicals in lemon oil include limonene, bergapten, and oxypeucedanin. Although it smells great, fragrance is not skincare! The major fragrance chemical in lemon oil is limonene.
References for this information:
Toxicology In Vitro, 2010, issue 8, 2084-2089
Acta Dermato Venereological, 2007, issue 4, pages 312-316
Archives of Dermatological Research, 1985, issue 1, pages 31-36"
lentil fruit extract,GOOD,Antioxidants,"Extract from the plant Lens esculenta that functions as a skin-softening agent and likely has antioxidant benefit, too."
Lentinus edodes extract,AVERAGE,Plant Extracts,"Extract from the shiitake mushroom that may have beneficial properties, although it could be a potential skin sensitizer."
Leontopodium alpinum extract,BEST,Skin-Soothing,Plant extract whose constituents are capable of provding antioxidant and skin-soothing benefit for skin.
Leptospermum scoparium oil,GOOD,Plant Extracts,none
leucine,GOOD,Skin-Replenishing,Amino acid.
Levisticum officinale root extract,POOR,Plant Extracts,none
licorice extract,BEST,Skin-Soothing,"Plant extract that has skin-soothing properties. In addition, licorice root may be effective in improving the look of an uneven skin tone. 
One of its components, known as glabridin, is a potent antioxidant and skin-soothing ingredient, which is why licorice often shows up in products meant for sensitive, reddened skin.
References for this information:
Fitoterapia, October 2013, pages 160-184
Journal of Clinical and Aesthetic Dermatology, July 2010, pages 20-31
International Journal of Molecular Science, 2009, issue 9, 4066-4087
Natural Product Research, December 2007, pages 1,234-1,241"
licorice root,BEST,Skin-Soothing,none
Lilium candidum bulb extract,AVERAGE,Plant Extracts,Extract derived from the white lily bulb. There is no research showing this has any benefit for skin.
lime oil and extract,POOR,Plant Extracts,"Citrus fruit whose volatile compounds are skin sensitizers and photosensitizers. Lime oil is a known fragrance sensitizer that contains the fragrance chemicals bergapten and limonene, both of which can cause what’s known as a photosenstive reaction when applied to skin. A phototoxic reaction can result in a patchy, uneven appearance to skin. Although lime extract and oil may have some antioxidant activity, their sensitizer potential outweighs any benefit.
References Cited:
Toxicology In Vitro, 2010, issue 8, pages 2084-2089
Acta Derm-Venereologica, 2007, issue 4, pages 312-316
Food and Chemical Toxicology, 1993, issue 5, pagesa 331-335
Archives of Dermatological Research, 1985, issue 1, pages 31-36"
